Gráfico,Código,Sobreposição de texto
Perspective scale break,Facilidade na Interpretação,Quebra de escala com perspectiva é mais fácil que o anterior
Perspective scale break,Facilidade na Interpretação,prefiro aqueles em que eu consigo saber que o usuário vai bater o olho e já saber do que se trata comparando uma barra com outra.
Perspective scale break,Facilidade na Interpretação,Perspectiva com certeza.
Perspective scale break,Facilidade na Interpretação,O quebra de escala com perspectiva é mais intuitivo para entender.
Perspective scale break,Facilidade na Interpretação,"Para você entender os dados, o quebra de escala com perspectiva."
Perspective scale break,Facilidade na Interpretação,quebra de escala com perspectiva por ser mais fácil de entender
Perspective scale break,Facilidade na Interpretação,"Para analisar, o quebra de escala com perspectiva, e o segundo é o de quebra de escala padrão,"
Default sacle break,Facilidade na Interpretação,Esteticamente falando. Eu prefiro de escala sem perspectiva. Entendi esse
Default sacle break,Facilidade na Interpretação,Quebra de escala com perspectiva é mais fácil que o anterior
Default sacle break,Facilidade na Interpretação,"Para analisar, o quebra de escala com perspectiva, e o segundo é o de quebra de escala padrão,"
logarithmic,Facilidade na Interpretação,Logarítmico porque ele vai te desenhar todo o gráfico e te mostrar onde determinados valores estão.
logarithmic,Facilidade na Interpretação,Escala logarítmica acho mais fácil de compreender.
Default,Facilidade na Interpretação,Por ser fácil de entender
Default,Facilidade na Interpretação,"Padrão, pois é mais fácil de passar uma informação através dele."
Default,Facilidade na Interpretação,"Padrão, ele é muito mais fácil de visualizar, a gente consegue muito mais facil, ele é muito mais fácil da gente se localizar."
Default,Facilidade na Interpretação," é mais fácil de entender, de identificar."
Default,Facilidade na Interpretação,"pois dá para fazer rápido, assim, de bate-pronto as perguntas"
Default,Familiaridade,"Padrão, com certeza pela familiaridade."
Default,Familiaridade,"popularidade é mais simples né, o pessoal, tá mais acostumado."
Default,Familiaridade,O padrão por conta da familiaridade que as pessoas vão ter 
Default,Familiaridade,Eu estou acostumado também ele é mais familiar 
Default,Familiaridade, uma vez que ele é familiar e estou mais acostumado
Default,Familiaridade,"O padrão,"
Perspective scale break,Preferencia visual para pergunta,"Se tivesse muito outlier ali, que precisasse mostrar. No caso, se eu tivesse muito valores aqui em baixo, por exemplo, duas altas, se eu não tivesse essa quebra, acho que esses valores menores iriam ficar muito achatados."
Perspective scale break,Preferencia visual para pergunta,"porque quando tinha um valor que era muito grande, não dava pra diferenciar os menores valores,apenas a quebra de escala ajudava encontrar determinados números que ficavam confusos.  Então, primeiro o quebra de escala com perspectiva, e depois o quebra de escala."
Perspective scale break,Preferencia visual para pergunta,"Se ele for muito grande ou muito pequeno, talvez o de quebra de escala com perspectiva me ajudasse mais."
Perspective scale break,Preferencia visual para pergunta,quando a pergunta era sobre encontrar a segunda maior o quebra de escala padrão e quebra de escala com perspectiva foram os que foram mais fáceis.
Perspective scale break,Preferencia visual para pergunta,principalmente quando tinha perguntando qual era a segunda menor e a segunda maior
Default sacle break,Preferencia visual para pergunta,"porque quando tinha um valor que era muito grande, não dava pra diferenciar os menores valores,apenas a quebra de escala ajudava encontrar determinados números que ficavam confusos.  Então, primeiro o quebra de escala com perspectiva, e depois o quebra de escala."
Default sacle break,Preferencia visual para pergunta,quando a pergunta era sobre encontrar a segunda maior o quebra de escala padrão e quebra de escala com perspectiva foram os que foram mais fáceis.
Perspective scale break,Visual interessante,no Escala com Perspectiva fica muito melhor em ter essa visualização nesse sentimento do que no outro. 
Perspective scale break,Visual interessante,"O quebra de escala com perspectiva é bem mais atrativo, ele tem alguns elementos visuais dessa perspectiva, que chamam mais atenção."
Perspective scale break,Visual interessante,"E aí, obviamente, é uma ideia muito interessante. Ainda não tinha visto essa quebra"
Perspective scale break,Visual interessante,"Olha dos exemplos mostrados quando tinha essa quebra com perspectiva, achava bem interessante"
Default,Visual simples,Padrão. Pela simplicidade
Default,Visual simples,"Padrão, Ele é mais clean. "
